Id,Name,Longitude,Latitude
1,DM1,114.0082734,22.49556271
2,DM2,113.9925767,22.50456509
3,DM3,113.9609901,22.47740746
4,DM4,113.9293979,22.46039812
5,DM5,113.8843397,22.43368214
6,NM5,113.8972213,22.38358934
7,NM3,113.9462512,22.35051481
8,NM2,113.9823723,22.35041288
9,NM1,114.0218415,22.34785825
10,NM6,113.8943464,22.32386213
11,NM8,113.8718082,22.28096269
12,SM20,113.8854317,22.1734847
13,SM17,113.9615399,22.15969679
14,SM13,113.9626644,22.21530105
15,SM12,114.0121762,22.21402958
16,SM18,114.0776006,22.15901076
17,SM6,114.0777016,22.18873483
18,SM5,114.1118702,22.20179807
19,SM7,114.0763678,22.22435966
20,SM9,114.067252,22.26855249
21,SM10,114.0313612,22.30080927
22,WM3,114.0913315,22.31916393
23,WM2,114.0987473,22.28342295
24,VM8,114.1196419,22.29298909
25,WM1,114.1180681,22.24990832
26,SM4,114.136458,22.20833879
27,SM3,114.1486689,22.2251148
28,SM2,114.1781688,22.2244506
29,SM1,114.2299302,22.20797433
30,VM7,114.1422868,22.29725929
31,VM15,114.1430541,22.30968409
32,VM6,114.1618659,22.28895926
33,VM5,114.1741256,22.28812365
34,VM4,114.1923556,22.29600781
35,VM2,114.2101493,22.29678168
36,VM1,114.2298192,22.28806007
37,JM3,114.2594598,22.29102961
38,JM4,114.2556955,22.2812829
39,EM1,114.2593251,22.27141782
40,EM2,114.2671426,22.26017409
41,EM3,114.27341,22.23620035
42,WM4,114.0737343,22.34653776
43,MM8,114.3195364,22.19453252
44,MM13,114.4359949,22.20680791
45,MM19,114.3245312,22.2723203
46,PM11,114.3375833,22.31542224
47,PM8,114.3122752,22.31460311
48,PM7,114.2906087,22.33913443
49,PM6,114.2705069,22.35215725
50,PM3,114.2808447,22.36820727
51,PM2,114.2808905,22.37799156
52,PM1,114.2837887,22.3883474
53,PM4,114.31403,22.38308837
54,PM9,114.3359344,22.34183803
55,MM14,114.4370639,22.2954216
56,MM15,114.4357163,22.36735972
57,MM16,114.4366001,22.44710428
58,MM6,114.3472054,22.45476761
59,TM2,114.2184631,22.41529525
60,TM4,114.2186226,22.43288059
61,TM3,114.2028448,22.44817551
62,TM5,114.2255187,22.45643728
63,TM6,114.2404742,22.44510675
64,TM7,114.264944,22.44934105
65,TM8,114.2982477,22.46843387
66,MM17,114.3458458,22.5033872
67,MM5,114.3973485,22.52436972
68,MM4,114.3589011,22.55613196
69,MM7,114.2956832,22.52460481
70,MM3,114.312331,22.55933179
71,MM2,114.2718834,22.54688875
72,MM1,114.235343,22.54249
73,VM12,114.1216818,22.33121209
74,VM14,114.1071796,22.36589972
75,SM11,114.0184542,22.2570145
76,ET1,114.248085,22.26978548
77,ET2,114.2296387,22.28323268
78,VT3,114.2325323,22.29652251
79,VT4,114.2142419,22.31116255
80,VT11,114.1972301,22.31489895
81,VT2,114.185191,22.28503307
82,VT10,114.1594196,22.3101302
83,VT12,114.1431457,22.32587211
84,VT8,114.11368,22.35614105
85,WT1,114.1624802,22.23964748
86,WT3,114.156063,22.24457487
87,PT4,114.265012,22.36341878
88,PT2,114.2748178,22.38058646
89,PT3,114.3117422,22.37309323
90,TT1,114.2107637,22.45422876
91,ST1,114.0243153,22.20688844
92,ST3,114.0314898,22.24796231
93,NT1,113.9739447,22.37833767
94,SM19,114.2138478,22.15805174
